10 300 3000
0 299 -0.447629 0.451165
0 298 0.691746 0.108254
0 297 -0.654047 -0.130943
0 296 -0.0183636 -0.37731
0 295 -0.0230301 -0.35787
0 294 -0.524848 -0.0361299
0 293 -0.030031 0.455057
0 292 0.194269 -0.88074
0 291 0.621733 -0.368972
0 290 -0.564338 -0.00628363
0 289 -0.14565 0.00288966
0 288 -0.537082 -0.309955
0 287 0.147744 -0.138885
0 286 -0.215458 0.267541
0 285 -0.190423 -0.0674973
0 284 -0.147557 0.106358
0 283 0.0346566 0.187033
0 282 -0.227207 -0.24343
0 281 -0.662818 0.892006
0 280 0.406873 -0.506642
0 279 -0.773036 0.431415
0 278 -0.141224 -0.321098
0 277 -0.310662 0.054223
0 276 0.18325 -0.397005
0 275 -0.136117 -0.318811
0 274 0.449594 0.466097
0 273 0.163176 -0.380576
0 272 0.629024 0.55513
0 271 0.0557307 -0.256706
0 270 0.541425 -0.643763
0 269 0.00844974 -0.279661
0 268 -0.0152684 0.384704
0 267 -0.0967566 0.0437273
0 266 -0.836806 -0.696811
0 265 -0.017139 0.321672
0 264 0.590815 0.684288
0 263 0.157416 -0.27273
0 262 0.0253453 -0.264418
0 261 -0.711185 -0.210334
0 260 -0.255666 -0.338367
0 259 -0.750624 -0.607843
0 258 0.733541 -0.314156
0 257 0.197011 0.535559
0 256 0.345344 -0.435458
0 255 -0.513943 -0.546635
0 254 -0.21598 0.0511196
0 253 0.0690075 0.132114
0 252 0.19529 -0.106752
0 251 -0.912078 -0.887361
0 250 0.198534 -0.286473
0 249 -0.12215 -0.531757
0 248 -0.476271 -0.369797
0 247 0.199025 0.327829
0 246 -0.286977 -0.480472
0 245 0.307112 -0.407011
0 244 -0.00197796 0.29159
0 243 -0.230094 -0.161032
0 242 -0.0483578 -0.413281
0 241 0.459724 0.446861
0 240 0.492434 0.367443
0 239 0.692284 0.348188
0 238 -0.36934 -0.508181
0 237 -0.575923 -0.209065
0 236 -0.442553 0.165983
0 235 -0.337763 -0.294234
0 234 0.380781 0.357763
0 233 0.326697 0.361456
0 232 -0.625195 0.282059
0 231 -0.661975 -0.512043
0 230 -0.285516 0.268232
0 229 -0.248653 0.0428361
0 228 -0.156383 0.262455
0 227 0.486703 0.0187884
0 226 0.498293 0.143609
0 225 -0.445108 -0.00359275
0 224 -0.380346 0.114293
0 223 0.396116 -0.275207
0 222 -0.027377 0.602266
0 221 -0.384083 -0.133552
0 220 0.378539 -0.451004
0 219 0.118079 -0.38476
0 218 -0.0638964 -0.296528
0 217 -0.541249 0.216195
0 216 -0.376994 0.458396
0 215 0.334638 -0.715132
0 214 0.221165 0.49735
0 213 -0.441296 0.195564
0 212 -0.539341 -0.450637
0 211 -0.534141 0.332105
0 210 0.457328 -0.382112
0 209 0.624957 0.0535792
0 208 -0.392384 -0.38451
0 207 -0.139778 0.489002
0 206 0.269738 0.719294
0 205 0.148853 -0.240066
0 204 0.606746 -0.448424
0 203 -0.279134 0.115022
0 202 0.408761 0.68561
0 201 -0.434939 -0.416244
0 200 0.431409 0.477647
0 199 -0.443114 0.588305
0 96 -0.557319 0.0921062
0 95 -0.0958252 -0.0909623
0 94 0.569974 -0.49478
0 93 0.516513 0.682225
0 92 0.673346 -0.441764
0 91 -0.562756 0.144552
0 90 0.0648102 -0.0081247
0 89 -0.229233 0.618054
0 88 -0.278587 0.538721
0 87 0.450418 -0.5915
0 86 -0.436959 -0.454114
0 85 0.0274102 0.159826
0 84 0.0830992 0.243999
0 83 0.77735 -0.547947
0 82 0.631043 0.435578
0 81 0.426662 -0.0827781
0 80 0.0920548 -0.395427
0 79 -0.449832 0.150459
0 78 -0.131516 -0.192034
0 77 -0.0133828 0.233384
0 76 -0.514524 -0.189593
0 75 -0.124267 0.439079
0 74 -0.2635 -0.328505
0 73 0.1922 -0.501663
0 72 0.0623169 -0.567259
0 71 -0.410932 -0.232549
0 70 -0.283042 0.65017
0 69 -0.461873 -0.561773
0 68 -0.381422 -0.466981
0 67 0.0907941 0.0879516
0 66 -0.855557 0.00158607
0 65 -0.368099 0.102064
0 64 0.0342206 -0.478992
0 63 -0.0559472 0.193809
0 62 -0.107168 0.51718
0 61 0.308269 0.0723468
0 60 0.0570025 0.136171
0 59 0.264213 0.390338
0 58 -0.0319766 -0.169385
0 57 -0.0169108 -0.279804
0 56 -0.203665 0.830828
